Report Based on Repo
+-----------------------+---------------+----------------+-----------------+--------------+
|         NAME          | TOTALDOWNSIZE | TOTALDOWNLOADS | TOTALUPLOADSIZE | TOTALUPLOADS |
+-----------------------+---------------+----------------+-----------------+--------------+
| Total                 |        987726 |          31093 |         5844219 |       238409 |
| generic-local-repo91  |          2180 |             99 |           70992 |         3210 |
| generic-local-repo337 |          3212 |            153 |           65632 |         2970 |
| generic-local-repo123 |          4783 |            190 |           62347 |         2572 |
| generic-local-repo499 |          2370 |             95 |           60640 |         2490 |
| generic-local-repo132 |          4215 |            190 |           47952 |         2250 |
| generic-local-repo210 |          1047 |             50 |           47952 |         2250 |
| generic-local-repo147 |          1044 |             50 |           47952 |         2250 |
| generic-local-repo238 |          1128 |             47 |           46640 |         1930 |
| generic-local-repo171 |          1200 |             50 |           46320 |         1930 |
| generic-local-repo192 |          5170 |            187 |           39920 |         1610 |
| generic-local-repo47  |          4728 |            187 |           39840 |         1660 |
| generic-local-repo467 |          2963 |            141 |           39952 |         1930 |
| generic-local-repo343 |          2963 |            138 |           39952 |         1930 |
| generic-local-repo220 |          2498 |             95 |           40240 |         1610 |
| generic-local-repo329 |          1954 |             97 |           39952 |         1930 |
| generic-local-repo395 |          1200 |             50 |           38640 |         1610 |
| generic-local-repo474 |          7444 |            265 |           32240 |         1290 |
| generic-local-repo71  |          6149 |            209 |           33437 |         1340 |
| generic-local-repo444 |          6574 |            245 |           32240 |         1290 |
| example-repo-local    |             0 |              0 |           36144 |            1 |
| generic-local-repo461 |          3969 |            182 |           31952 |         1610 |
| generic-local-repo346 |          3906 |            148 |           31600 |         1290 |
| generic-local-repo446 |          2435 |             99 |           31972 |         1294 |
| generic-local-repo154 |          2187 |            108 |           31952 |         1610 |
| generic-local-repo222 |          9437 |            297 |           24240 |          970 |
| generic-local-repo1   |          1173 |             48 |           32480 |         1340 |
| generic-local-repo367 |          1250 |             50 |           32240 |         1290 |
| generic-local-repo363 |          1225 |             49 |           31920 |         1290 |
| generic-local-repo156 |          2402 |             93 |           30420 |         1230 |
| generic-local-repo198 |          1213 |             50 |           31600 |         1290 |
| generic-local-repo297 |          2208 |             87 |           29829 |         1210 |
| generic-local-repo266 |             0 |              0 |           31952 |         1610 |
| generic-local-repo2   |           996 |             40 |           30440 |         1220 |
| generic-local-repo39  |          5914 |            175 |           25440 |         1020 |
| generic-local-repo313 |          7091 |            239 |           23920 |          970 |
| generic-local-repo114 |          2450 |             89 |           28240 |         1130 |
| generic-local-repo497 |          5995 |            205 |           24240 |          970 |
| generic-local-repo409 |          2425 |             93 |           27740 |         1110 |
| generic-local-repo63  |          2311 |             95 |           27422 |         1120 |
| generic-local-repo347 |          5199 |            198 |           24240 |          970 |
| generic-local-repo288 |          2647 |            101 |           26722 |         1070 |
| generic-local-repo360 |          4949 |            184 |           24240 |          970 |
| generic-local-repo79  |          3552 |             58 |           25440 |         1020 |
| generic-local-repo304 |          1149 |             46 |           27240 |         1090 |
| generic-local-repo195 |          4464 |            157 |           23920 |          970 |
| generic-local-repo351 |          2450 |             90 |           25740 |         1030 |
| generic-local-repo428 |          3873 |            145 |           24240 |          970 |
| generic-local-repo58  |          2562 |             97 |           25440 |         1020 |
| generic-local-repo27  |          1647 |             51 |           25492 |         1024 |
| generic-local-repo464 |          5894 |            179 |           21240 |          850 |
| generic-local-repo31  |          2616 |            100 |           24480 |         1020 |
| generic-local-repo401 |          2673 |             99 |           24240 |          970 |
| generic-local-repo325 |          2449 |             95 |           24240 |          970 |
| generic-local-repo265 |          2423 |             92 |           24240 |          970 |
| generic-local-repo328 |          2372 |             89 |           24240 |          970 |
| generic-local-repo341 |          2348 |             91 |           24240 |          970 |
| generic-local-repo359 |          2663 |            106 |           23920 |          970 |
| generic-local-repo73  |           960 |             35 |           25440 |         1020 |
| generic-local-repo311 |          2424 |             92 |           23920 |          970 |
| generic-local-repo416 |          2378 |             97 |           23920 |          970 |
